파이썬,2020.02.07.,파이썬 책 추천해주세요 게임으로 배우는 파이썬 기초와 객체지향을 통한 게임 제작... 파이썬은 외부 라이브러리 등을 통해 엄청 많은 분야를 지원하고 있습니다.... 
파이썬 공부 파이썬 코딩,2020.02.21.,이제 파이썬으로 실습을 하려는 대학생입니다. 파이썬을 혼자 공부하다보니... 말인데 파이썬 모듈을 좀 더 공부할 수 있는 곳이나 자료를 어디서 받을지 알 수... 
파이썬 책 추천좀.......,2020.02.05.,"... 제가 요즘 파이썬을 배우고 있는데, 파이썬 기초정도는 다 끝냈는데 아직 부족한거 같아서 파이썬을 더 전문적이게 배우고 싶은데 좀더 전문적으로 배울수... "
파이썬만 공부해도 취업 가능할까요?,2020.03.11.,... 때마다 파이썬으로 백준 문제를 풀고있고 Mysql과... 제가 알기로는 학교에서 하는 프로그래밍 대회는 파이썬이... 정말 파이썬만 해서 실력으로 취업할 가능성도 있을까요?... 
라즈베리파이 파이썬 2,2020.03.27.,라즈베리파이 파이썬 2 추가 설치 어떻게 하나요? 라즈비안 최신버전입니다 라즈비안에는 파이썬 2.7 과 3.4 버전이 기본적으로 설치되어 있습니다. 실행시 python 으로... 
파이썬 공부하는 방법알려주세요,2020.04.03.,파이썬으로 프로그래밍 처음 입문하려고합니다. 프로그래밍 입문하려면 파이썬이 좋다는 이야기를 많이... 파이썬을 공부하신다고 하셨는데요~ 일단 냉정하게 말씀드리면... 
파이썬학원 기초부터 하는곳,2020.03.07.,"... 인터넷 검색해보니깐 파이썬을 먼저 배우는게 좋다고 하더라구요 파이썬학원... 파이썬학원 중 가장 좋은곳은 어디인가요? 비전공자이고, 파이썬에 파도 모르거든요....... "
파이썬 3 수학 관련 교재 없나요?... ,2020.04.03.,"... 파이썬을 배우게 됐는데요, 강의 이름부터가 수리소프트웨어의 활용이어가지고 파이썬을 이용해서 연산하는 법을 주로 배우는 거 같더라고요... 그래서 그런데 파이썬... "
프로그래밍언어 독학(파이썬),2020.03.19.,파이썬 독학으로 배워보려고 하는데 많이 어렵나요?? 안녕하세요 학습전문멘토... it계열 파이썬 포함해서 c언어 그 위로 c++까지도 공부해보실수 있는 인강이 있습니다.... 
독학으로 파이썬,2020.03.26.,독학으로 파이썬을 공부해 보려고하는데요 인강과 교재? 책... 학원에서 파이썬 하나만 배우면 비용이 대체로... 혼자서 파이썬을 독학하시기에는 어려운 점이 있으실 것이라는... 
파이썬언어 공부,2020.04.03.,파이썬언어 공부먼저 ?해야하나요 안녕하세요. IT... 먼저 파이썬에 대해서 궁금하신 이유는 무엇인가요? 파이썬은 프로그래밍언어라는 겁니다. 가장 인기 있는... 
파이썬프로그래밍을 배우면 일본취업에... ,2020.03.10.,궁금한게 있는데요 파이썬프로그래밍을 배우면 일본취업에 유리할까요? 일본은 대부분 c언어나 자바아닌가요? 파이썬프로그래밍이 쓸모없지않겠죠? 사실 파이썬은.. 언어... 
파이썬 독학하려는데 어려울까요??,2020.04.01.,... 일단 파이썬으로 독학 시작해보려고하는데요 뭐 아는 게 없어서 선뜻 시작하기가 애매하네요 파이썬 독학으로 배우기 많이 어렵나요?? 요즘은 시대가 좋아서 파이썬 관련... 
파이썬 가르쳐주는 학원이 어디죠?,2020.04.02.,파이썬 가르쳐주는 학원이 어디죠? 파이썬 배울 수 있는 학원 추천해드릴께요! http://sbsdaejeon.co.kr SBS아카데미컴퓨터아트학원 박세진 Previous Next pused... 
파이썬웹페이지 제작가능한... ,2020.04.01.,... 사업가로 파이썬 페이지를 구축하는 사람을 불러서 웹페이지 개발을 의뢰한 적이 있었는데요. 아무래도 파이썬웹... 제가 파이썬웹페이지 기술을 배워두면 어느정도 그런... 
파이썬 공부를 하고 싶어요,2020.04.01.,... 파이썬을 공부 할려고 하는데요 제일 기초가 프로그래밍 언어라고 하는데 그중 제일 추천하는것이 파이썬이라고... 좋겠습니다 파이썬(Python)은 직관적이고 배우기 쉬운... 
파이썬 인강 고를 때 팁있을까요??,2020.04.03.,파이썬이 프로그래밍 언어중 가장 쉽다해서 공부해보려는데 인강이 워낙많다보니... 안녕하세요 파이썬 인강 알아보시는 것 같습니다. 파이썬뿐만 아니라 IT 분야 인터넷... 
부산 파이썬 프로그래밍 기초부터 쉽게... ,2020.03.17.,... 하는데 파이썬 프로그래밍이 가장 쉽다고 해서 파이썬부터 배워볼려고 합니다.... 기초부터 프로그래밍 배울 수 있는 부산 파이썬학원 있나요? 안녕하세요 기업에서는... 
파이썬 자격증,2020.03.24.,파이썬 자격증을 따보려고 하는데요 .. 1. 시함치는데 나이제한도 았나요? 2.... 파이썬자격증은 민간자격증입니다. 굳이 취득하고 싶다고하신다면 말리진 않겠지만... 
파이썬 대비방법?,2020.02.17.,... 좀어려우니 파이썬을 하라고 하시더라고요 그래서 지금 방학동안 전공대비를 하려고하는데 파이썬은 교과목에 없는데 파이썬전공대비 가능한가요?? 안녕하세요 :-D... 
파이썬인강 추천해주세요!,2020.03.07.,"... 코딩현직자하는 말이 파이썬부터 우선적으로 학습을 해야한다고 해서 파이썬먼저 들으려고하는데, 괜찮은... 언어가 파이썬입니다. 사실, 이러한 코딩언어는... "
파이썬 인강 추천,2020.03.31.,비전공자인데 파이썬 인강을 들어보고 더배우고싶으면 학원을 다니려고하는데 파이썬 인강 퀄리티가 좋은곳 없나요? 안녕하세요. KG에듀원입니다~ 파이썬 인강 퀄리티... 
파이썬=코딩=프로그래밍,2020.04.02.,파이썬=코딩=프로그래밍 인가요?  안녕하세요. 진로 / 취업 / 교육 분야 전문 컨설턴트... 파이썬은 프로그래밍 언어 에 속해있는 언어입니다. 코딩에 대해서 맞춤 상담을... 
파이썬기초부터 배우려고 하는데 괜찮은... ,2020.04.04.,파이썬기초부터 배우려고 하는데 괜찮은 학원 없나요? 직장에서 파이썬을 꼭 배우라고 해서 파이썬기초부터 배울 수 있는 학원을 찾고 있는데 아예 안배워본 사람도... 
파이썬강좌로 독학해보신분~~,2020.03.06.,... 프로그래밍언어들이 되게 많던데 파이썬 추천하시는 분들이 많더라구요 파이썬의 장점이 뭔가요? 왜 파이썬을 많이 추천해주시는거에요?? 2. 따로 학원 안다니고 파이썬강좌... 
파이썬개발자가 되고싶네요,2020.04.03.,파이썬 개발자가 너무나도 하고싶어요 그래서 파이썬 개발자는 어떤쪽으로 취업을 하게 될까요? 온라인강의랑... 파이썬 언어는 문법도 간결해서 다소 다른 언어에... 
프로그래밍 언어 파이썬 배울만 한가요?,2020.03.25.,... 하는데 파이썬을 쓰는 것 같더라구요 근데 파이썬 배워놓으면 대학가서나... 있어서 파이썬도 배워보려구요 실용성이 없다면 배우지 않을 생각입니다... 
파이썬 +=,2020.02.16.,파이썬에서 +=는 무슨 뜻이죠? 비슷한 건 뭐가 있나요? +=는 모든 프로그래밍 언어에서 공통적으로 씁니다. no1 += 2 같은 경우는 no1 = no1 + 2 와 같은 의미입니다.... 
파이썬 질문 드립니다.,2020.02.01.,... 저는 맥에서 파이썬을 아톰으로 사용 하고 있습니다. 아톰으로 파이썬을 배우며 super() 라는 메소드를 사용 할 시 에러가 났었고 그 이유는 제가 파이썬 3.7.3을 설치... 
파이썬 전에 배워야 할 것,2020.03.30.,... 봤더니 파이썬이라고 하네요 근데 파이썬 전에 더 기초로 공부해야할 부분이... 읽는 파이썬3 기초 - 구름EDU 파이썬을 배우고 싶은 누구나 쉽고 재밌게 읽을 수... 
파이썬 질문 있어요,2020.03.30.,파이썬이 정확히 무엇인지 자세하게 설명 부탁드려요... 파이썬은 c언어 자바등 다양하게 있는 개발언어라고... 작동하는 파이썬 코드 작성 도구로서 코드의 가독성이 좋고... 
파이썬 설치에 대해...,2020.03.06.,"파이썬 공부를 하려고 하는데 교재는 어떤게 좋으며, 그냥 검색해서 나오는 파이썬 아무거나 깔면 상관 없는건가요?? 부모님이 자꾸 파이썬 어디서 구매하는지... "
파이썬 format()함수 오류...,2020.04.02.,제가 파이썬 공부를 하다가 format함수를 활용해 보았는데요 oupput_b~f까지 오류가... 파이썬 잘 아시는분 해결점 해주세요.... 파이썬3.8 프로그램으로는 되는데 비주얼... 
파이썬 개발자가 되고 싶어요.,2020.04.03.,파이썬 개발자가 되고 싶은데요 파이썬만 공부하면 될까요? 제목 그대로에요 파이썬으로 개발자가 되고싶은데 파이썬으로 할 수 있는 개발자가 뭐에요? 안녕하세요!... 
비주얼스튜디오코드에서 파이썬 실행 문제,2020.04.02.,며칠 전부터 취미로 파이썬 공부를 시작한 40대 직장인입니다. 파이썬 설치하고... 제가 짧은 지식으로 추특컨데 파이썬 코드를 작성하는 파트와 터미널 쪽 파트가 연동이... 
파이썬 인강으로 공부해보려고하는데요,2020.03.26.,... 고등학생입니다 파이썬이 제일 쉽다고 해서 인강으로 공부해보려는데 어디 파이썬 인강이 좋은지 모르겠어요 직접 들어보신 분들 있으면 파이썬 인강 추천좀해주세요... 
파이썬은 어떤용도로 쓰나요,2020.04.02.,파이썬언어는 어디에쓰이죠? 안녕하세요. IT... 먼저 파이썬에 대해서 궁금하신 이유는 무엇인가요? 파이썬은 프로그래밍언어라는 겁니다. 가장 인기 있는... 
파이썬 인강 추천부탁드립니다!,2020.04.01.,요즘 파이썬 언어가 뜨고있다고 하더라구여 그래서... 질문자님께서 말씀하신 대로 파이썬 언어는 대세 중에 대세인 언어입니다. 따라서 많은 분들이 파이썬 언어를... 
파이썬 기초 학원 있나요?,2020.04.02.,프로그래밍 언어중 파이썬으로 기초를 배우고 싶은데... 현재 질문자께서 프로그래밍 언어중 파이썬으로 기초를... 전문 교육 기관인 많큼 프로그래밍 언어중 파이썬을 당연히... 
파이썬 종류 및 설치,2020.03.03.,파이썬 3.6.0 설치하려고 하는데 어떤걸 선택해야하나요? 파이썬 공식 사이트 들어가니까 이렇게 윈도우 버전이 7개나 있는데.. 참고로 윈도우를 쓰고 있습니다... 
